id,date,views,forwards,edit_date,item,item_name,address,amount,currency
2049,2022-01-25,1555,1,2022-06-02,0-K92 ,, بلخ ، جوار سلطان راضيه, فروش | فی متر 180$ با جور آمد   ,Dollar
2025,2022-01-23,1666,0,2022-08-06, 0-h182,, مزارشریف ، نزدیک مکتب رهنورد," فروش | 120,000$ با جور آمد   ",Dollar
2016,2022-01-23,1614,0,2022-05-28,0-B24 ,, مزارشریف ، سید آباد," فروش | 55,000$ با جور آمد   ",Dollar
2004,2022-01-21,1623,0,2022-01-21,0-K83 ,, ، مزارشریف ، نو آباد," فروش | 28,000$ با جور آمد   ",Dollar
2002,2022-01-21,1621,0,2022-01-21,0-K13 ,, مزارشریف ، کمر بند سابقه, فروش | 24$ فی متر  ,Dollar
2000,2022-01-20,1591,1,2022-01-20,0-H143 ,, شهرک خالد ، قسمت دوم  ," فروش | 75,000$ با جور آمد   ",Dollar
1989,2022-01-20,1592,0,2022-01-20,0-H178 ,, شهرک خالد ، قسمت 1  ," فروش | 195,000$ با جور آمد   ",Dollar
1980,2022-01-19,1655,1,2022-01-20,0-H181 ,,  مزارشریف ، پُل تصدی  ," فروش | 165,000$ با جور آمد   ",Dollar
1969,2022-01-19,1563,1,2022-01-19,0-H177 ,,  مزارشریف ، گذر شورتاکزار ," فروش | 90,000$ با جور آمد   ",Dollar
1965,2022-01-18,1532,1,2022-01-18,0-H179 ,,  مزارشریف ، زراعت نو آباد  ," فروش | 18,000$ با جور آمد   ",Dollar
1957,2022-01-18,1508,0,2022-01-18,0-K89 ,,  شهرک خالد ، قسمت 2," فروش | 9,000$ با جور آمد   ",Dollar
1955,2022-01-17,1535,0,2022-01-17,0-H176 ,, ، مزارشریف ، چوک نور ," فروش | 115,000$ با جور آمد   ",Dollar
1952,2022-01-17,1622,1,2022-01-17,0-BG6 ,, ، مزارشریف ، شهرک خالد ، قسمت 2 ," گروی | 40,000$ با جور آمد   ",Dollar
1941,2022-01-16,1612,0,2022-01-16,0-H160 ,,  شهرک خالد ، قسمت 3," فروش | 32,500$ با جور آمد   ",Dollar
1932,2022-01-16,1601,1,2022-01-16,0-K88 ,, ، مزارشریف شهرک خالد قسمت 2 ," فروش | 8,000$ با جور آمد   ",Dollar
1930,2022-01-15,1541,0,2022-01-15,0-H175 ,, ، مزارشریف  کارته آریانا ," فروش | 90,000$ با جور آمد   ",Dollar
1924,2022-01-15,1518,0,2022-01-15,0-H29 ,, ، مزارشریف  کارته ایشانی ," فروش | 29,000$ با جور آمد   ",Dollar
1922,2022-01-14,1517,0,2022-01-14,0-H149 ,, ، مزارشریف کارته خراسان ," فروش | 130,000$ با جور آمد   ",Dollar
1911,2022-01-13,1508,0,2022-01-13,0-B23 ,, ، مزارشریف گذر چغدک ," فروش | 28,000$ با جور آمد   ",Dollar
1904,2022-01-13,1467,0,2022-01-13,0-K87 ,, ، مزارشریف کارته ابن سینا , فروش | فی متر $60   ,Dollar
1897,2022-01-12,1509,0,2022-01-12,0-H156 ,, ، مزارشریف ، نور خدا," فروش | 21,000$ با جور آمد   ",Dollar
1886,2022-01-12,1446,2,2022-01-20,0-H152 ,, ، مزارشریف ، چوک محب," فروش | 65,000$ با جور آمد   ",Dollar
1884,2022-01-11,1457,1,2022-01-11,0-H167 ,, ، مزارشریف ،  نوآباد," فروش | 35,000$ با جور آمد   ",Dollar
1873,2022-01-11,1433,0,2022-01-11,0-H152 ,, ، مزارشریف ، شهرک خالد," فروش | 65,000$ با جور آمد   ",Dollar
1865,2022-01-10,1452,0,2022-01-10,0-H174 ,, ، مزارشریف، شهرک خالد ," فروش |100,000$ با جور آمد",Dollar
1854,2022-01-10,1403,1,2022-01-10,0-H173 ,, ، مزارشریف، شهرک خالد ," فروش |115,000$ با جور آمد",Dollar
1843,2022-01-09,1374,2,2022-01-09,0-H49 ,, ، مزارشریف ، دشت شور کوچه 9," فروش |35,750$ با جور آمد",Dollar
1841,2022-01-09,1407,0,2022-01-09,0-H172 ,, ، مزارشریف ، شهرک خالد‌ قسمت 3," فروش | 18,500$ با جور آمد",Dollar
1838,2022-01-08,1404,0,2022-01-08,0-H171 ,, ، مزارشریف ، شهرک خالد‌," فروش | 55,000$ با جور آمد   ",Dollar
1827,2022-01-08,1355,1,2022-01-08,0-GH39 ,, ، مزارشریف ، شهرک خالد‌," گروی | 10,000$ با جور آمد   ",Dollar
1816,2022-01-07,1416,1,2022-01-07,1-K1,, کابل : بگرامی , قیمت گروی  (18 لک افغانی ) ,HT
1814,2022-01-07,1426,3,2022-01-07,0-H170 ,, ، مزارشریف ، شهرک خالد‌," فروش | 22,000$ با جور آمد   ",Dollar
1812,2022-01-06,1431,0,2022-01-06,0-H88 ,, ، مزارشریف ، شهرک خالد‌," فروش | 60,000$ با جور آمد   ",Dollar
1802,2022-01-06,1426,0,2022-01-06,0-K26 ,حویلی, ، مزارشریف ، شهرک خالد‌," فروش | 65,000) با جور آمد   ",Dollar
1796,2022-01-05,1434,0,2022-01-05,0-H106 ,, مزارشریف ، کوچه آهنگری  ," فروش | 145,000$ با جور آمد   ",Dollar
1786,2022-01-05,1425,0,2022-01-05,1-DG1 ,,, قیمت گروی  (3 نیم لک افغانی ) ,HT
1784,2022-01-04,1434,0,2022-01-04,0-H48 ,, ، بلخ ، دهدای ," فروش | 75,000$ با جور آمد   ",Dollar
1773,2022-01-04,1402,1,2022-01-04,0-H169 ,, ، مزارشریف ، شهرک خالد," فروش | 18,000$ با جور آمد   ",Dollar
1766,2022-01-03,1417,0,2022-01-03,0-H152 ,,  ، شهرک خالد ، قسمت اول," فروش | 65,000$ با جور آمد   ",Dollar
1759,2022-01-02,1465,1,2022-01-02,0-H168 ,, ، مزارشریف ، نوشاد چهارم," فروش | 11,500$ با جور آمد   ",Dollar
1757,2022-01-01,1528,1,2022-01-01,0-H151 ,, ، مزارشریف ، کارته خراسان," فروش | 70,000$ با جور آمد   ",Dollar
1748,2022-01-01,1510,0,2022-01-01,0-K49 ,, ، مزارشریف ، پروژه اس," فروش | 40,500$ با جور آمد   ",Dollar
1740,2021-12-31,1574,2,2021-12-31,0-H19 ,, ، مزارشریف ، چهاراهی محب," فروش | 85,000$ با جور آمد   ",Dollar
1731,2021-12-30,1563,0,2021-12-30,0-BG5 ,, ، مزارشریف ، چهاراهی فردوسی," گروی | 12,000$ با جور آمد   ",Dollar
1724,2021-12-30,1484,0,2021-12-30,0-K83 ,, ، مزارشریف ، نو آباد," فروش | 28,000$ با جور آمد   ",Dollar
1722,2021-12-29,1493,0,2022-08-29,0-K85 ,, ، مزارشریف ، دهدادی, فروش | فی متر 12$ با جور آمد   ,Dollar
1713,2021-12-29,1502,0,2021-12-29,0-K82 ,, ، مزارشریف ،  خراسان," فروش | 36,000$ با جور آمد   ",Dollar
1705,2021-12-28,1455,1,2022-09-30,0-H167 ,, ، مزارشریف ،  نوآباد," فروش | 35,000$ با جور آمد   ",Dollar
1694,2021-12-28,1454,0,2021-12-28,0-K36 ,, ، مزارشریف ،  دشت شور," فروش | 12,000$ با جور آمد   ",Dollar
1692,2021-12-27,1473,0,2021-12-27,0-H76 ,, ، مزارشریف ،  دشت شور," فروش | 32,000$ با جور آمد   ",Dollar
1682,2021-12-27,1405,0,2021-12-27,0-HG8 ,, ، مزارشریف ، کارته ام البلات," گروی | 19,000$ با جور آمد   ",Dollar
1673,2021-12-26,1431,1,2021-12-26,0-H65 ,, ، مزارشریف ، شهرک خالد," فروش | 65,000$ با جور آمد   ",Dollar
