id,date,views,forwards,edit_date,reactions.results,media.photo.date,media.photo.sizes,cleaned_message,category,status,measurement,city,area,amount,currency
3342,2022-05-07,1582,3,2022-05-07,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 2, 'chosen_order': None}]",,,کـــود 0-K117   زمین   مزارشریف: سرک کابل مزار    فروشی | 55 لک با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,زمین,"فروش, ",,مزارشریف,مزار فروشی |,70125,$
3340,2022-05-07,1603,1,2022-05-07,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 5, 'chosen_order': None}]",,,"کـــود 0-H203   حویلی   مزارشریف: شهرک خالد    فروشی | 55,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,55000,$
3330,2022-05-06,1599,0,2023-01-30,[],,,"کـــود 0-H222   حویلی   مزارشریف: شهرک خالد    فروشی | 72,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,72000,$
3311,2022-05-05,1739,4,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-H198   حویلی   مزارشریف: کارته آریانا ام لبلاد     فروشی | 160,000 با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,2025.316456,$
3291,2022-05-04,1695,2,2022-05-04,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-H193   حویلی   مزارشریف: شهرک خالد   فروشی | 25,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,25000,$
3283,2022-05-01,2075,0,2022-05-01,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,کـــود 0-K32   زمین   مزارشریف: کمر بند کهنه بلخ    فروش | 22$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,زمین,"فروش, ",متر,مزارشریف,,22,$
3280,2022-04-30,1978,1,2022-04-30,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,کـــود 0-K46   زمین   مزارشریف: ایشانی   فروش | 40$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,زمین,"فروش, ",متر,مزارشریف,,40,$
3278,2022-04-29,1940,1,2022-04-30,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-H221   حویلی   مزارشریف: دروازه شادیان   فروشی | 50,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,50000,$
3270,2022-04-29,1800,0,2022-04-29,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-h167   حویلی   مزارشریف: نوآباد   فروشی | 36,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,36000,$
3260,2022-04-28,1779,0,2022-04-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-K42   زمین   مزارشریف: شهرک صفا   فروش | 12,000$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",متر,مزارشریف,,12000,$
3258,2022-04-27,1794,0,2022-04-27,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 5, 'chosen_order': None}]",,,"کـــود 0-B38   بلاک   مزارشریف: چهاراهی جهاد   فروش | 18,000$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",متر,مزارشریف,,18000,$
3252,2022-04-27,1789,0,2022-04-29,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-B37   بلاک   مزارشریف: کوچه قابله پروین   فروش | 45,000$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",متر,مزارشریف,,45000,$
3243,2022-04-26,1753,0,,,,,"کـــود 0-B36   بلاک   مزارشریف: چهاراهی جهاد   فروش | 35,000$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",متر,مزارشریف,,35000,$
3241,2022-04-26,1708,1,2022-05-05,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-K26   زمین   مزارشریف: شهرک خالد   فروش | 35,000$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",متر,مزارشریف,,35000,$
3239,2022-04-26,1664,0,,,,,کـــود 0-K8   زمین   مزارشریف: گذر چیتگری   فروش | 140$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,زمین,"فروش, ",متر,مزارشریف,,140,$
3237,2022-04-25,1705,1,2022-04-25,[],,,"کـــود 0-h187   حویلی   مزارشریف: شهرک خالد    فروش | 35,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,35000,$
3228,2022-04-25,1748,1,2022-04-25,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}]",,,"کـــود 0-H189   حویلی   مزارشریف: شهرک خالد   فروش | 75,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,75000,$
3217,2022-04-24,1695,0,2022-04-25,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-H157   حویلی   مزارشریف: قلعه خان        فروش | 26,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,26000,$
3211,2022-04-23,1704,0,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-H88   حویلی   مزارشریف: شهرک خالد     فروش | 55,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,55000,$
3201,2022-04-23,1625,0,2022-04-25,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-K116   زمین   مزارشریف: شهرک خالد      فروش | 15,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",,مزارشریف,,15000,$
3199,2022-04-23,1667,0,2022-04-23,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-K114   زمین   مزارشریف: سید آباد      فروش | 370,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",,مزارشریف,,370000,$
3194,2022-04-22,1687,1,2022-04-22,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-B35   بلاک   مزارشریف: چهار راه کابل فلز        فروش | 23,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",,مزارشریف,فلز فروش |,23000,$
3185,2022-04-22,1643,1,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-K115   زمین   مزارشریف: گذر حیات      فروش | 23,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",,مزارشریف,,23000,$
3182,2022-04-21,1651,0,2022-05-14,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}]",,,کـــود 0-H153   حویلی   مزارشریف: عزیز آباد      فروش | 170$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,"حویلی, زمین","فروش, ",,مزارشریف,,170,$
3177,2022-04-21,1637,1,2022-04-21,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 5, 'chosen_order': None}]",,,"کـــود 0-H129   حویلی   مزارشریف: کمر بند کهنه      فروش | 8,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,8000,$
3169,2022-04-20,1642,2,2022-04-20,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 5, 'chosen_order': None}]",,,"کـــود 0-H135   حویلی   مزارشریف: کمر بند سیاه گرد      فروش | 20,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,20000,$
3154,2022-04-20,1574,0,2022-04-20,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,کـــود 0-B34   بلاک   مزارشریف: بابه يادگار  فروش | 37500$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,"زمین, بلاک","فروش, ",,مزارشریف,,37500,$
3142,2022-04-20,1619,1,2022-04-20,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-H107   حویلی   مزارشریف: شهرک خالد      فروش | 70,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,70000,$
3133,2022-04-19,1608,0,2022-04-19,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 6, 'chosen_order': None}]",,,"کـــود 0-H103   حویلی   مزارشریف: کارته صلح      فروش | 135,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,135000,$
